Date,Open,High,Low,Close,Adj Close,Volume
2021-10-27,124.510002,124.690002,122.050003,122.500000,119.127853,3610800
2021-10-28,122.300003,123.099998,120.910004,121.269997,117.931709,4242900
2021-10-29,120.589996,120.620003,118.879997,119.860001,116.560532,8118500
2021-11-01,120.139999,121.040001,120.000000,120.230003,116.920349,3600400
2021-11-02,120.760002,123.169998,120.150002,121.300003,117.960899,6909700
2021-11-03,121.360001,121.809998,119.949997,121.180000,117.844185,4762800
2021-11-04,121.599998,121.769997,119.970001,120.690002,117.367691,3928400
2021-11-05,121.269997,124.629997,120.879997,122.980003,119.594643,6147400
2021-11-08,123.029999,123.959999,122.339996,123.019997,119.633537,4183900
2021-11-09,123.099998,123.870003,122.050003,122.290001,118.923637,3150700
2021-11-10,122.089996,122.930000,121.610001,122.410004,119.040337,3225700
2021-11-11,122.389999,122.550003,118.889999,119.580002,116.288239,4046900
2021-11-12,120.010002,120.099998,118.290001,119.309998,116.025673,5539500
2021-11-15,119.849998,119.940002,117.459999,117.580002,114.343285,5775200
2021-11-16,117.300003,118.599998,116.709999,117.989998,114.742004,5283500
2021-11-17,117.190002,118.370003,116.629997,117.830002,114.586411,3976700
2021-11-18,117.940002,118.050003,115.589996,117.669998,114.430817,7731800
2021-11-19,117.940002,118.129997,116.730003,117.220001,113.993195,7325000
2021-11-22,117.790001,118.800003,116.760002,116.889999,113.672279,6813100
2021-11-23,112.680000,115.610001,111.110001,113.379997,110.258904,11151900
2021-11-24,113.059998,115.279999,112.519997,114.440002,111.289742,5588500
2021-11-26,113.459999,113.510002,110.779999,111.050003,107.993042,5561300
2021-11-29,112.000000,112.470001,110.169998,110.279999,107.244247,7026000
2021-11-30,109.570000,109.879997,106.589996,106.699997,103.762794,14018500
2021-12-01,108.769997,108.919998,105.379997,105.470001,102.566650,8205200
2021-12-02,105.739998,107.919998,105.019997,107.279999,104.326828,7458800
2021-12-03,107.620003,108.500000,105.910004,106.870003,103.928116,6922900
2021-12-06,108.029999,111.230003,107.709999,110.239998,107.205345,7624800
2021-12-07,111.800003,114.440002,111.639999,112.269997,109.179466,9550600
2021-12-08,112.379997,112.900002,111.480003,112.419998,109.325333,5585200
2021-12-09,111.959999,113.489998,111.470001,112.809998,109.704590,6162500
2021-12-10,113.690002,114.150002,111.849998,112.430000,109.335060,4342700
2021-12-13,112.300003,113.410004,112.160004,112.860001,109.753227,4750000
2021-12-14,112.269997,113.010002,111.269997,111.690002,108.615433,8183100
2021-12-15,105.610001,105.779999,103.430000,104.940002,102.051239,18546500
2021-12-16,103.330002,104.370003,101.230003,102.209999,99.396393,18427400
2021-12-17,100.510002,103.940002,100.260002,100.629997,97.859886,22561600
2021-12-20,99.919998,100.430000,98.379997,99.529999,96.790169,12699900
2021-12-21,99.980003,102.750000,99.860001,101.650002,99.481506,9610500
2021-12-22,101.650002,101.820000,100.910004,101.339996,99.178108,6690600
2021-12-23,102.120003,103.400002,101.180000,102.900002,100.704842,7255200
2021-12-27,103.290001,105.250000,102.580002,104.430000,102.202202,6591300
2021-12-28,104.660004,104.769997,103.949997,104.529999,102.300072,7488200
2021-12-29,104.709999,104.980003,103.930000,103.949997,101.732437,3635500
2021-12-30,103.879997,105.580002,103.839996,104.470001,102.241348,3519200
2021-12-31,104.470001,104.879997,103.440002,103.449997,101.243095,3608900
2022-01-03,103.139999,106.330002,102.769997,106.099998,103.836563,7797800
2022-01-04,105.730003,107.489998,105.389999,106.389999,104.120384,7680600
2022-01-05,107.139999,108.989998,106.000000,106.010002,103.748497,7206000
2022-01-06,106.290001,106.809998,104.620003,104.970001,102.730675,5207000
2022-01-07,104.000000,105.830002,103.860001,105.160004,102.916634,5142200
2022-01-10,104.940002,105.650002,103.620003,105.620003,103.366814,6500500
2022-01-11,106.080002,108.070000,106.000000,107.889999,105.588387,7217100
2022-01-12,107.709999,109.230003,107.500000,108.949997,106.625771,8421600
2022-01-13,108.730003,110.599998,108.449997,108.779999,106.459396,5165400
2022-01-14,108.089996,108.849998,107.239998,108.550003,106.234314,6291500
2022-01-18,107.010002,108.209999,106.320000,107.489998,105.196922,8019400
2022-01-19,107.389999,109.089996,106.949997,107.760002,105.461159,7278600
2022-01-20,106.660004,108.940002,105.970001,106.110001,103.846359,6110400
2022-01-21,107.349998,107.419998,104.470001,105.599998,103.347237,6406200
2022-01-24,103.610001,104.830002,100.680000,104.209999,101.986893,10286900
2022-01-25,102.650002,104.660004,101.269997,104.169998,101.947746,8577400
2022-01-26,104.620003,105.839996,103.250000,104.089996,101.869446,6568200
2022-01-27,105.089996,105.959999,102.820000,103.180000,100.978859,5979300
2022-01-28,103.449997,103.940002,101.209999,103.129997,100.929924,8459400
2022-01-31,103.000000,103.589996,101.809998,103.489998,101.282249,9255000
2022-02-01,103.690002,104.190002,102.500000,103.589996,101.380112,8114900
2022-02-02,102.989998,103.489998,101.400002,103.370003,101.164818,10230100
2022-02-03,102.120003,102.930000,101.300003,102.169998,99.990410,7134200
2022-02-04,101.620003,103.540001,101.570000,102.730003,100.538467,4526800
2022-02-07,102.650002,103.239998,101.809998,101.989998,99.814247,5258400
2022-02-08,102.510002,104.599998,102.019997,104.209999,101.986893,5775500
2022-02-09,104.800003,106.300003,104.800003,106.089996,103.826782,7087600
2022-02-10,105.529999,106.769997,104.540001,104.879997,102.642601,6516700
2022-02-11,104.690002,105.830002,102.629997,102.989998,100.792915,5859000
2022-02-14,103.239998,103.389999,101.690002,102.309998,100.127426,7079900
